,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,zone
239840,West Bengal,DARJEELING,2000,Whole Year,Coconut,133.0,2334.0,EastIndia
239870,West Bengal,DARJEELING,2001,Whole Year,Coconut,158.0,2743.7,EastIndia
239906,West Bengal,DARJEELING,2002,Whole Year,Coconut,158.0,2614.9,EastIndia
239937,West Bengal,DARJEELING,2003,Whole Year,Coconut,149.0,2468.9,EastIndia
239967,West Bengal,DARJEELING,2004,Whole Year,Coconut,165.0,2910.3,EastIndia
240000,West Bengal,DARJEELING,2005,Whole Year,Coconut,165.0,2910.0,EastIndia
240033,West Bengal,DARJEELING,2006,Whole Year,Coconut,168.0,2970700.0,EastIndia
240072,West Bengal,DARJEELING,2007,Whole Year,Coconut,155.0,2480000.0,EastIndia
240111,West Bengal,DARJEELING,2008,Whole Year,Coconut,155.0,2480.0,EastIndia
240328,West Bengal,DINAJPUR DAKSHIN,1997,Whole Year,Coconut,147.0,2680.0,EastIndia
240362,West Bengal,DINAJPUR DAKSHIN,1998,Whole Year,Coconut,152.0,2633.9,EastIndia
240394,West Bengal,DINAJPUR DAKSHIN,1999,Whole Year,Coconut,156.0,2784.0,EastIndia
240421,West Bengal,DINAJPUR DAKSHIN,2000,Whole Year,Coconut,160.0,2847.0,EastIndia
240446,West Bengal,DINAJPUR DAKSHIN,2001,Whole Year,Coconut,163.0,2855.6,EastIndia
240474,West Bengal,DINAJPUR DAKSHIN,2002,Whole Year,Coconut,165.0,2748.6,EastIndia
240497,West Bengal,DINAJPUR DAKSHIN,2003,Whole Year,Coconut,166.0,2765.7,EastIndia
240520,West Bengal,DINAJPUR DAKSHIN,2004,Whole Year,Coconut,168.0,2721.8,EastIndia
240542,West Bengal,DINAJPUR DAKSHIN,2005,Whole Year,Coconut,186.0,3005.0,EastIndia
240564,West Bengal,DINAJPUR DAKSHIN,2006,Whole Year,Coconut,192.0,240000.0,EastIndia
240590,West Bengal,DINAJPUR DAKSHIN,2007,Whole Year,Coconut,197.0,2413800.0,EastIndia
240611,West Bengal,DINAJPUR DAKSHIN,2008,Whole Year,Coconut,197.0,2313.0,EastIndia
240727,West Bengal,DINAJPUR UTTAR,1997,Whole Year,Coconut,282.0,5915.0,EastIndia
240764,West Bengal,DINAJPUR UTTAR,1998,Whole Year,Coconut,283.0,3926.9,EastIndia
240801,West Bengal,DINAJPUR UTTAR,1999,Whole Year,Coconut,318.0,5065.1,EastIndia
240832,West Bengal,DINAJPUR UTTAR,2000,Whole Year,Coconut,323.0,5116.3,EastIndia
240865,West Bengal,DINAJPUR UTTAR,2001,Whole Year,Coconut,330.0,3762.0,EastIndia
240903,West Bengal,DINAJPUR UTTAR,2002,Whole Year,Coconut,195.0,1747.2,EastIndia
240938,West Bengal,DINAJPUR UTTAR,2003,Whole Year,Coconut,199.0,1687.5,EastIndia
240969,West Bengal,DINAJPUR UTTAR,2004,Whole Year,Coconut,202.0,1378.6,EastIndia
241002,West Bengal,DINAJPUR UTTAR,2005,Whole Year,Coconut,208.0,1150.0,EastIndia
241034,West Bengal,DINAJPUR UTTAR,2006,Whole Year,Coconut,208.0,1102400.0,EastIndia
241073,West Bengal,DINAJPUR UTTAR,2007,Whole Year,Coconut,236.0,2317500.0,EastIndia
241113,West Bengal,DINAJPUR UTTAR,2008,Whole Year,Coconut,218.0,2135.0,EastIndia
241319,West Bengal,HOOGHLY,1997,Whole Year,Coconut,1000.0,20000.0,EastIndia
241345,West Bengal,HOOGHLY,1998,Whole Year,Coconut,1010.0,21018.1,EastIndia
241376,West Bengal,HOOGHLY,1999,Whole Year,Coconut,1150.0,23000.0,EastIndia
241399,West Bengal,HOOGHLY,2000,Whole Year,Coconut,1200.0,24972.0,EastIndia
241426,West Bengal,HOOGHLY,2001,Whole Year,Coconut,1200.0,24972.0,EastIndia
241451,West Bengal,HOOGHLY,2002,Whole Year,Coconut,1210.0,25198.3,EastIndia
241474,West Bengal,HOOGHLY,2003,Whole Year,Coconut,1150.0,21677.5,EastIndia
241496,West Bengal,HOOGHLY,2004,Whole Year,Coconut,1100.0,16241.5,EastIndia
241520,West Bengal,HOOGHLY,2005,Whole Year,Coconut,1175.0,17519.0,EastIndia
241546,West Bengal,HOOGHLY,2006,Whole Year,Coconut,1189.0,17264300.0,EastIndia
241574,West Bengal,HOOGHLY,2007,Whole Year,Coconut,995.0,11940000.0,EastIndia
241601,West Bengal,HOOGHLY,2008,Whole Year,Coconut,997.0,11940.0,EastIndia
241741,West Bengal,HOWRAH,1997,Whole Year,Coconut,2957.0,49523.0,EastIndia
241764,West Bengal,HOWRAH,1998,Whole Year,Coconut,2960.0,52096.0,EastIndia
241791,West Bengal,HOWRAH,1999,Whole Year,Coconut,2531.0,44773.4,EastIndia
241811,West Bengal,HOWRAH,2000,Whole Year,Coconut,2558.0,45276.6,EastIndia
241835,West Bengal,HOWRAH,2001,Whole Year,Coconut,2593.0,27615.5,EastIndia
241859,West Bengal,HOWRAH,2002,Whole Year,Coconut,2626.0,32236.8,EastIndia
241880,West Bengal,HOWRAH,2003,Whole Year,Coconut,2811.0,31486.0,EastIndia
241901,West Bengal,HOWRAH,2004,Whole Year,Coconut,2854.0,31816.4,EastIndia
241923,West Bengal,HOWRAH,2005,Whole Year,Coconut,2865.0,28552.0,EastIndia
241947,West Bengal,HOWRAH,2006,Whole Year,Coconut,2877.0,28951300.0,EastIndia
241972,West Bengal,HOWRAH,2007,Whole Year,Coconut,2895.0,30687000.0,EastIndia
241995,West Bengal,HOWRAH,2008,Whole Year,Coconut,2900.0,30687.0,EastIndia
242119,West Bengal,JALPAIGURI,1997,Whole Year,Coconut,1130.0,15255.0,EastIndia
242155,West Bengal,JALPAIGURI,1998,Whole Year,Coconut,1135.0,15663.0,EastIndia
242190,West Bengal,JALPAIGURI,1999,Whole Year,Coconut,1140.0,14820.0,EastIndia
242219,West Bengal,JALPAIGURI,2000,Whole Year,Coconut,1145.0,13762.9,EastIndia
242250,West Bengal,JALPAIGURI,2001,Whole Year,Coconut,1148.0,13854.1,EastIndia
242288,West Bengal,JALPAIGURI,2002,Whole Year,Coconut,790.0,10483.3,EastIndia
242324,West Bengal,JALPAIGURI,2003,Whole Year,Coconut,790.0,10475.4,EastIndia
242357,West Bengal,JALPAIGURI,2004,Whole Year,Coconut,785.0,10943.7,EastIndia
242391,West Bengal,JALPAIGURI,2005,Whole Year,Coconut,785.0,10943.0,EastIndia
242427,West Bengal,JALPAIGURI,2006,Whole Year,Coconut,792.0,11167200.0,EastIndia
242470,West Bengal,JALPAIGURI,2007,Whole Year,Coconut,798.0,11538800.0,EastIndia
242510,West Bengal,JALPAIGURI,2008,Whole Year,Coconut,798.0,11538.0,EastIndia
242751,West Bengal,MALDAH,1997,Whole Year,Coconut,215.0,1204.0,EastIndia
242785,West Bengal,MALDAH,1998,Whole Year,Coconut,216.0,1188.0,EastIndia
242817,West Bengal,MALDAH,1999,Whole Year,Coconut,220.0,1232.0,EastIndia
242847,West Bengal,MALDAH,2000,Whole Year,Coconut,225.0,1305.0,EastIndia
242878,West Bengal,MALDAH,2001,Whole Year,Coconut,226.0,1299.5,EastIndia
242912,West Bengal,MALDAH,2002,Whole Year,Coconut,227.0,1313.2,EastIndia
242942,West Bengal,MALDAH,2003,Whole Year,Coconut,230.0,1331.7,EastIndia
242972,West Bengal,MALDAH,2004,Whole Year,Coconut,235.0,1363.0,EastIndia
243004,West Bengal,MALDAH,2005,Whole Year,Coconut,240.0,1404.0,EastIndia
243035,West Bengal,MALDAH,2006,Whole Year,Coconut,250.0,1450000.0,EastIndia
243073,West Bengal,MALDAH,2007,Whole Year,Coconut,482.0,6660000.0,EastIndia
243108,West Bengal,MALDAH,2008,Whole Year,Coconut,506.0,6993.0,EastIndia
243306,West Bengal,MEDINIPUR EAST,1997,Whole Year,Coconut,3065.0,32485.0,EastIndia
243329,West Bengal,MEDINIPUR EAST,1998,Whole Year,Coconut,3211.0,33259.5,EastIndia
243356,West Bengal,MEDINIPUR EAST,1999,Whole Year,Coconut,3336.0,35395.0,EastIndia
243374,West Bengal,MEDINIPUR EAST,2000,Whole Year,Coconut,3519.0,37290.8,EastIndia
243392,West Bengal,MEDINIPUR EAST,2001,Whole Year,Coconut,3670.0,38887.3,EastIndia
243415,West Bengal,MEDINIPUR EAST,2002,Whole Year,Coconut,3410.0,36507.5,EastIndia
243432,West Bengal,MEDINIPUR EAST,2003,Whole Year,Coconut,3500.0,37646.0,EastIndia
243449,West Bengal,MEDINIPUR EAST,2004,Whole Year,Coconut,3528.0,38194.1,EastIndia
243470,West Bengal,MEDINIPUR EAST,2005,Whole Year,Coconut,3580.0,38907.0,EastIndia
243491,West Bengal,MEDINIPUR EAST,2006,Whole Year,Coconut,3662.0,40824000.0,EastIndia
243517,West Bengal,MEDINIPUR EAST,2007,Whole Year,Coconut,3692.0,46905000.0,EastIndia
243539,West Bengal,MEDINIPUR EAST,2008,Whole Year,Coconut,3707.0,41838.0,EastIndia
243663,West Bengal,MEDINIPUR WEST,1997,Whole Year,Coconut,1040.0,19864.0,EastIndia
243702,West Bengal,MEDINIPUR WEST,1998,Whole Year,Coconut,1045.0,16929.0,EastIndia
243745,West Bengal,MEDINIPUR WEST,1999,Whole Year,Coconut,1046.0,18305.0,EastIndia
243779,West Bengal,MEDINIPUR WEST,2000,Whole Year,Coconut,1070.0,18190.0,EastIndia
243814,West Bengal,MEDINIPUR WEST,2001,Whole Year,Coconut,1100.0,19140.0,EastIndia
243852,West Bengal,MEDINIPUR WEST,2002,Whole Year,Coconut,1014.0,15836.7,EastIndia
243886,West Bengal,MEDINIPUR WEST,2003,Whole Year,Coconut,1146.0,18454.0,EastIndia
243918,West Bengal,MEDINIPUR WEST,2004,Whole Year,Coconut,1150.0,18433.4,EastIndia
243954,West Bengal,MEDINIPUR WEST,2005,Whole Year,Coconut,1170.0,19486.0,EastIndia
243989,West Bengal,MEDINIPUR WEST,2006,Whole Year,Coconut,1180.0,18035100.0,EastIndia
244029,West Bengal,MEDINIPUR WEST,2007,Whole Year,Coconut,1450.0,20036400.0,EastIndia
244069,West Bengal,MEDINIPUR WEST,2008,Whole Year,Coconut,1455.0,20130.0,EastIndia
244298,West Bengal,MURSHIDABAD,1997,Whole Year,Coconut,4129.0,28386.0,EastIndia
244335,West Bengal,MURSHIDABAD,1998,Whole Year,Coconut,4230.0,24369.0,EastIndia
244374,West Bengal,MURSHIDABAD,1999,Whole Year,Coconut,3963.0,35758.1,EastIndia
244405,West Bengal,MURSHIDABAD,2000,Whole Year,Coconut,4008.0,35587.0,EastIndia
244438,West Bengal,MURSHIDABAD,2001,Whole Year,Coconut,4110.0,30631.8,EastIndia
244472,West Bengal,MURSHIDABAD,2002,Whole Year,Coconut,4239.0,35594.9,EastIndia
244505,West Bengal,MURSHIDABAD,2003,Whole Year,Coconut,4225.0,30381.9,EastIndia
244535,West Bengal,MURSHIDABAD,2004,Whole Year,Coconut,4314.0,33217.8,EastIndia
244567,West Bengal,MURSHIDABAD,2005,Whole Year,Coconut,4327.0,52772.0,EastIndia
244598,West Bengal,MURSHIDABAD,2006,Whole Year,Coconut,4202.0,59361700.0,EastIndia
244637,West Bengal,MURSHIDABAD,2007,Whole Year,Coconut,4610.0,59350000.0,EastIndia
244675,West Bengal,MURSHIDABAD,2008,Whole Year,Coconut,4620.0,59500.0,EastIndia
244885,West Bengal,NADIA,1997,Whole Year,Coconut,745.0,11547.0,EastIndia
244916,West Bengal,NADIA,1998,Whole Year,Coconut,767.0,11505.0,EastIndia
244951,West Bengal,NADIA,1999,Whole Year,Coconut,768.0,11520.0,EastIndia
244983,West Bengal,NADIA,2000,Whole Year,Coconut,772.0,11611.7,EastIndia
245017,West Bengal,NADIA,2001,Whole Year,Coconut,798.0,12005.1,EastIndia
245055,West Bengal,NADIA,2002,Whole Year,Coconut,829.0,12600.8,EastIndia
245089,West Bengal,NADIA,2003,Whole Year,Coconut,857.0,12998.0,EastIndia
245121,West Bengal,NADIA,2004,Whole Year,Coconut,860.0,13046.2,EastIndia
245153,West Bengal,NADIA,2005,Whole Year,Coconut,983.0,12234.0,EastIndia
245184,West Bengal,NADIA,2006,Whole Year,Coconut,1002.0,13378700.0,EastIndia
245223,West Bengal,NADIA,2007,Whole Year,Coconut,988.0,12527800.0,EastIndia
245258,West Bengal,NADIA,2008,Whole Year,Coconut,991.0,12527.0,EastIndia
245469,West Bengal,PURULIA,1997,Whole Year,Coconut,17.0,340.0,EastIndia
245508,West Bengal,PURULIA,1998,Whole Year,Coconut,20.0,310.0,EastIndia
245547,West Bengal,PURULIA,1999,Whole Year,Coconut,20.0,290.0,EastIndia
245576,West Bengal,PURULIA,2000,Whole Year,Coconut,27.0,364.5,EastIndia
245612,West Bengal,PURULIA,2001,Whole Year,Coconut,25.0,300.0,EastIndia
245651,West Bengal,PURULIA,2002,Whole Year,Coconut,18.0,123.3,EastIndia
245687,West Bengal,PURULIA,2003,Whole Year,Coconut,55.0,186.6,EastIndia
245719,West Bengal,PURULIA,2004,Whole Year,Coconut,66.0,296.1,EastIndia
245756,West Bengal,PURULIA,2005,Whole Year,Coconut,74.0,311.0,EastIndia
245792,West Bengal,PURULIA,2006,Whole Year,Coconut,73.0,365000.0,EastIndia
245837,West Bengal,PURULIA,2007,Whole Year,Coconut,58.0,898000.0,EastIndia
245879,West Bengal,PURULIA,2008,Whole Year,Coconut,58.0,598.0,EastIndia
